Date,Value
2016-04-21,119.2661
2016-04-20,118.7623
2016-04-19,118.6406
2016-04-18,119.3827
2016-04-15,119.5789
2016-04-14,119.5583
2016-04-13,119.5343
2016-04-12,119.1878
2016-04-11,119.3462
2016-04-08,119.7988
2016-04-07,120.2687
2016-04-06,119.9539
2016-04-05,120.3716
2016-04-04,119.835
2016-04-01,119.703
2016-03-31,119.2912
2016-03-30,119.6551
2016-03-29,120.8743
2016-03-28,120.8513
2016-03-25,121.2496
2016-03-24,121.3006
2016-03-23,121.0072
2016-03-22,120.2167
2016-03-21,120.1925
2016-03-18,119.8594
2016-03-17,119.9002
2016-03-16,122.3051
2016-03-15,122.1013
2016-03-14,121.6902
2016-03-11,121.2693
2016-03-10,121.8399
2016-03-09,121.8477
2016-03-08,122.2703
2016-03-07,122.0398
2016-03-04,122.0426
2016-03-03,122.7182
2016-03-02,123.2988
2016-03-01,123.4263
2016-02-29,123.7694
2016-02-26,123.8895
2016-02-25,123.4219
2016-02-24,123.6557
2016-02-23,123.6668
2016-02-22,123.299
2016-02-19,123.4912
2016-02-18,123.4086
2016-02-17,123.3877
2016-02-16,124.0131
2016-02-12,123.9271
2016-02-11,123.8013
2016-02-10,123.8906
2016-02-09,123.773
2016-02-08,124.0496
2016-02-05,123.9086
2016-02-04,123.1948
2016-02-03,124.2652
2016-02-02,125.2043
2016-02-01,124.93
2016-01-29,125.1342
2016-01-28,124.8181
2016-01-27,125.1146
2016-01-26,125.2761
2016-01-25,125.6244
2016-01-22,125.3718
2016-01-21,125.6384
2016-01-20,125.984
2016-01-19,125.4068
2016-01-15,125.3626
2016-01-14,125.0039
2016-01-13,124.7564
2016-01-12,124.928
2016-01-11,124.6357
2016-01-08,124.6539
2016-01-07,124.2812
2016-01-06,124.1992
2016-01-05,123.774
2016-01-04,123.6929
2015-12-31,122.7709
2015-12-30,122.9458
2015-12-29,122.5988
2015-12-28,122.4847
2015-12-24,122.4696
2015-12-23,122.5626
2015-12-22,122.6157
2015-12-21,122.8346
2015-12-18,122.721
2015-12-17,123.277
2015-12-16,122.4265
2015-12-15,122.2838
2015-12-14,122.2098
2015-12-11,122.1773
2015-12-10,121.673
2015-12-09,121.5961
2015-12-08,121.918
2015-12-07,121.6648
2015-12-04,120.8503
2015-12-03,120.9325
2015-12-02,121.6395
2015-12-01,121.3858
2015-11-30,121.6117
2015-11-27,121.5695
2015-11-26,121.294
2015-11-25,121.1514
2015-11-24,121.0324
2015-11-23,121.4104
2015-11-20,121.054
2015-11-19,120.8816
2015-11-18,121.6842
2015-11-17,121.6323
2015-11-16,121.5319
