@relation bitcoin_weekly-weka.filters.unsupervised.attribute.Remove-R1

@attribute open numeric
@attribute high numeric
@attribute low numeric
@attribute close numeric
@attribute 'volume (btc)' numeric
@attribute 'volume (currency)' numeric
@attribute 'class label' {BUY,SELL,HOLD}

@data
2.72,3,2.67,2.69,268.268973,719.877157,HOLD
0,0,0,0,0,0,HOLD
3.07,4.36,3.07,4.2,118.377873,445.379526,BUY
3.69,4.4,3.69,3.95,88.432425,342.345648,BUY
3.85,3.85,3.2,3.5,116.381395,427.186437,BUY
3.25,3.55,3.2,3.3,68.994043,226.894159,HOLD
3.32,3.33,3.32,3.33,38.777121,128.835466,BUY
0,0,0,0,0,0,HOLD
0,0,0,0,0,0,HOLD
3.27,3.55,3.21,3.55,117.081039,389.570504,HOLD
3.21,3.21,3,3,103.512,324.1387,SELL
2.95,2.95,2.95,2.95,203.388,599.9946,SELL
0,0,0,0,0,0,HOLD
3.08,3.08,3.08,3.08,47.472124,146.214142,BUY
3.09,3.3,3.09,3.3,58.86052,188.319463,BUY
3.25,3.3,2.95,3.3,121.667773,388.045938,BUY
3.3,3.3,3.3,3.3,65.434,215.9322,BUY
3.35,3.35,3.35,3.35,2.79,9.3465,BUY
3.35,3.35,3.35,3.35,29.489552,98.79,BUY
2.95,2.95,2.47,2.47,183.4,505.874,BUY
2.99,3,2.5,2.5,97.341611,256.464282,BUY
2.51,3,2.51,3,5.616667,16.7422,HOLD
3,3,2.5,2.99,17.018629,47.356186,SELL
2.5,2.79,2.5,2.5,88.44,224.29,SELL
2.5,2.5,2.43,2.43,48.872124,119.54746,SELL
2.37,2.37,2.37,2.37,11,26.07,HOLD
2.45,3,2.25,2.25,290.526776,707.5192,SELL
2.53,2.59,2.46,2.59,328.493346,811.138089,SELL
0,0,0,0,0,0,HOLD
2.54,3,2.54,3,9.144609,26.253227,SELL
2.5,15,2.5,2.75,179.787266,566.879,HOLD
2.77,2.77,2.77,2.77,10.090253,27.95,SELL
0,0,0,0,0,0,HOLD
2.67,2.78,2.66,2.66,180.367149,486.85,SELL
2.69,3.23,2.69,2.72,62.464649,173.265897,SELL
3.19,3.19,3.19,3.19,14.539185,46.38,HOLD
3.46,3.48,3.3,3.42,233.780033,805.790644,BUY
3.45,3.45,3.04,3.04,131.75704,414.649203,HOLD
2.93,2.93,2.93,2.93,0.5,1.465,SELL
0,0,0,0,0,0,HOLD
2.82,2.99,2.82,2.93,207.363266,612.076514,SELL
2.9,3.25,2.89,2.98,216.109289,659.727895,SELL
3.05,3.35,3.05,3.3,233.2092,746.118478,SELL
3.27,3.5,2.95,3.3,115.717727,366.564446,SELL
0,0,0,0,0,0,HOLD
3.2,3.2,3,3.2,12.284375,38.31,HOLD
3.17,3.37,3.17,3.27,157.778895,517.137686,SELL
3.37,3.6,3.37,3.48,75.618975,265.335813,SELL
3.25,3.59,3.25,3.56,66.150555,228.23,SELL
3.42,3.49,3.42,3.47,90.764731,312.384988,SELL
3.39,3.45,3.39,3.45,102.742029,352.96,SELL
3.25,3.5,3.25,3.44,84.613001,291.119609,SELL
0,0,0,0,0,0,HOLD
3.25,3.5,3.25,3.5,17.242857,58.59,SELL
3.5,3.98,3.5,3.85,134.734292,513.292936,SELL
4.75,4.75,4.53,4.55,94.743353,432.98,BUY
4.38,4.38,4.38,4.38,20.899543,91.54,BUY
4.19,4.19,4.17,4.17,8.535264,35.71,SELL
3.86,4.35,3.84,4.22,149.492562,625.814286,SELL
4.33,4.33,4.33,4.33,27.224795,117.883361,SELL
4.32,4.32,4.27,4.27,24.182423,104.080567,SELL
4.27,4.33,4.27,4.33,56.736605,243.7405,SELL
4.33,4.33,4.29,4.29,58.073867,250.336983,SELL
4.29,4.3,4.25,4.3,35.550117,151.724196,SELL
4.3,4.5,4.3,4.5,36.560962,158.978804,SELL
4.26,4.5,4.21,4.21,56.74005,240.143609,SELL
4.39,4.58,4.39,4.58,95.317878,425.320338,SELL
4.58,5,4.58,5,21.602,105.77916,SELL
5,5,5,5,19.048,95.24,SELL
5.32,5.32,5.14,5.29,88.037281,464.80521,SELL
4.93,5.57,4.93,5.57,107.23326,568.076197,SELL
5.72,6.65,5.72,6.65,94.801829,587.734767,SELL
6.65,6.9,6,6,33.882747,222.805219,SELL
6.8,6.8,6.8,6.8,0.295858,2.011834,BUY
6.9,7,6.9,7,5,34.6,SELL
6.99,6.99,6.23,6.3,66.869323,443.04472,SELL
6.24,7.14,6.24,7.14,62.28998,413.204084,BUY
7.14,7.33,6.25,7,105.358934,743.011615,BUY
6.95,7.38,6.51,6.51,82.301632,598.061631,BUY
6.8,7.36,6.6,6.6,48.970145,344.937355,BUY
6.5,6.5,6.3,6.3,16.836,108.4868,BUY
7.15,7.15,7.15,7.15,16.6993,119.4,BUY
6.2,7.1,6.2,7.1,12.649296,86.75,BUY
6.5,6.9,6,6,80.514008,493.405789,SELL
5.99,7.1,5.99,7.1,133.446769,820.932602,SELL
5.52,7,5.52,6.22,246.715819,1542.221227,BUY
6.9,6.95,6.55,6.95,95.825999,647.201739,BUY
6.3,6.77,6.28,6.77,81.413852,512.262573,BUY
6.79,6.83,6.03,6.79,81.271033,501.406607,BUY
6.5,6.52,6,6.52,94.920629,608.483847,BUY
6.52,6.57,6,6.55,85.446241,550.635661,BUY
6.26,6.86,6,6.31,81.123256,505.991269,BUY
6.27,6.3,5.5,5.5,29.919071,183.922027,HOLD
3.8,6.03,3.8,5.88,92.079993,528.437882,SELL
4.91,4.91,4.91,4.91,0.25,1.2275,SELL
5.89,5.9,5.3,5.5,9.454846,52.210469,SELL
5.3,5.58,5.3,5.58,15.16,83.9208,HOLD
5.7,6.22,3.8,5.3,110.503333,639.078531,BUY
5.53,5.99,5.52,5.88,12.058806,71.2027,BUY
5.99,6.28,5.89,6.28,251.00093,1541.851904,BUY
6.29,6.35,5.93,6.3,155.552453,950.749668,BUY
6.35,6.5,5.94,5.94,67.634994,407.870047,BUY
5.93,6.15,5.6,5.6,47.850424,280.366294,BUY
5.6,5.9,5.2,5.6,29.178338,161.848679,SELL
5.5,5.88,5.5,5.69,165.405419,937.134707,BUY
5.79,5.87,5.66,5.87,83.57202,477.33203,BUY
5.52,5.89,5.51,5.89,83.603189,482.90983,BUY
5.88,5.88,5.8,5.88,176.930504,1040.23518,BUY
5.71,5.71,5.5,5.5,1.879487,10.374875,BUY
5.78,5.78,5.55,5.67,64.843432,371.291862,BUY
5.53,5.79,5.5,5.79,99.784439,571.311508,BUY
5.2,5.8,4.56,4.89,128.344934,662.527248,BUY
4.9,5.08,4.69,4.69,67.789165,335.70689,BUY
4.5,4.98,4.15,4.51,115.623921,535.147307,SELL
4.67,4.8,4.5,4.67,244.670289,1151.243869,SELL
4.67,4.73,4.14,4.23,254.390252,1121.281464,SELL
4.38,4.38,4.3,4.38,92.683544,401.211082,SELL
4.72,4.72,4.4,4.44,315.939254,1439.906722,SELL
4.52,4.58,4.3,4.58,358.449201,1595.156713,SELL
4.47,4.59,4.46,4.51,75.308766,341.357038,SELL
4.59,5.22,4.55,5.22,714.844009,3516.151067,SELL
5.12,5.22,4.95,4.95,37.597118,193.547453,BUY
5.11,5.11,5,5,119.807402,600.53,BUY
4.79,5.07,4.78,4.98,40.9,201.4,BUY
4.97,5.1,4.95,5.04,309.052314,1563.056078,BUY
5.09,5.1,4.71,4.88,440.241387,2211.574505,HOLD
4.97,5,4.85,4.99,242.237846,1197.869876,SELL
4.99,5.05,4.9,5,291.163581,1455.037215,HOLD
4.99,4.99,4.64,4.79,245.974712,1166.586253,SELL
4.81,4.99,4.6,4.65,125.918315,589.854452,SELL
4.78,4.81,4.77,4.81,113.608415,544.863926,SELL
4.8,5.06,4.77,5.06,518.054552,2569.922403,HOLD
5,5.05,4.95,4.98,296.627942,1481.534958,SELL
5.05,5.09,4.93,4.93,373.492345,1894.89873,SELL
4.94,5.08,4.87,5.01,326.565755,1620.127647,SELL
5.01,5.07,4.93,4.93,277.589479,1395.699012,SELL
4.91,4.99,4.85,4.94,114.048928,553.985785,SELL
4.94,5,4.84,5,24.682526,120.977426,SELL
4.85,4.99,4.85,4.99,108.76168,538.938513,SELL
4.99,5.32,4.96,5.3,734.653943,3715.632845,BUY
5.32,5.44,5.27,5.27,1129.743277,6047.71509,BUY
5.27,5.43,5.27,5.39,633.167849,3394.01819,BUY
5.3,5.41,5.26,5.26,157.697944,844.791342,BUY
5.38,5.42,5.38,5.42,143.873329,775.720726,BUY
5.41,5.42,5.24,5.25,412.663521,2202.225985,BUY
5.24,5.37,4.83,4.83,415.193757,2107.018595,BUY
4.82,4.97,4.79,4.79,279.755917,1368.214023,BUY
4.9,4.96,4.9,4.96,9.328629,46.035,BUY
4.86,4.98,4.72,4.91,396.410995,1931.333801,HOLD
4.73,4.89,4.6,4.78,393.130185,1819.832912,SELL
4.72,4.83,4.62,4.83,191.538509,920.228908,SELL
4.61,4.84,4.54,4.54,15.473572,70.903,SELL
4.6,4.75,4.54,4.73,64.76456,295.698831,SELL
4.54,4.97,4.54,4.84,369.590796,1769.358354,SELL
4.75,4.95,4.72,4.93,418.648963,2032.738212,SELL
4.93,4.93,4.77,4.84,110.393703,534.796985,SELL
4.81,4.91,4.76,4.88,161.398794,783.951248,HOLD
4.9,4.92,4.89,4.9,158.373783,777.642106,BUY
4.89,4.89,4.77,4.89,308.505865,1478.707344,HOLD
4.8,5.04,4.78,5.04,888.578612,4377.181292,BUY
5.04,5.04,4.86,4.99,244.302901,1214.36568,BUY
4.92,5.01,4.86,5.01,305.435641,1501.275422,HOLD
4.99,5.04,4.89,5,400.864885,1990.303582,BUY
4.9,4.99,4.81,4.99,725.957718,3543.848235,HOLD
4.94,4.94,4.7,4.7,228.65563,1095.625082,SELL
4.8,4.8,4.69,4.76,177.217959,842.01714,SELL
4.7,4.85,4.7,4.75,158.558325,756.915174,SELL
4.75,4.87,4.75,4.8,314.817637,1515.548786,SELL
4.86,4.92,4.78,4.92,425.604632,2073.104698,SELL
4.87,4.93,4.73,4.93,756.794552,3667.964223,SELL
4.88,4.95,4.81,4.93,1102.265894,5395.335241,SELL
4.94,5.01,4.94,4.96,544.649989,2707.809985,SELL
4.96,4.99,4.92,4.99,114.974086,569.91299,SELL
4.93,4.98,4.93,4.98,487.007549,2414.163003,SELL
4.99,4.99,4.95,4.98,282.515387,1407.381782,SELL
4.98,5.18,4.98,5.16,839.93175,4285.059461,BUY
5.17,5.18,5.06,5.13,562.65171,2877.433224,BUY
5.15,5.38,5.09,5.38,372.83589,1927.011554,BUY
5.4,5.43,5.19,5.24,301.943565,1587.327892,BUY
5.24,5.25,5.17,5.17,139.568643,727.290939,BUY
5.2,5.25,5,5,947.460974,4873.922448,BUY
4.99,5.15,4.98,5.08,1975.831106,10045.498596,BUY
5.12,5.14,4.86,5.14,1634.213977,8194.995075,SELL
5.1,5.12,4.86,4.98,762.130218,3827.406379,SELL
5.03,5.08,4.99,5.04,718.014011,3598.053611,SELL
5.07,5.07,4.85,4.91,205.025527,1016.890497,SELL
4.92,4.96,4.81,4.91,62.878627,306.86089,SELL
4.92,5.02,4.87,5,490.580778,2426.541163,SELL
4.94,5.04,4.86,4.97,831.746226,4137.304693,SELL
5.01,5.15,5.01,5.06,495.317143,2513.615906,HOLD
5.06,5.13,5.05,5.1,645.089402,3293.743588,BUY
5.1,5.15,5.07,5.07,776.042763,3969.426006,BUY
5.09,5.11,5.04,5.04,415.569046,2105.183516,BUY
5.06,5.1,5.02,5.08,1234.046056,6235.201056,BUY
5.05,5.08,4.97,5.05,874.478645,4402.523566,BUY
5.06,5.08,4.99,5.02,640.558687,3232.384299,BUY
5.02,5.08,5.01,5.02,350.281595,1764.912364,HOLD
5.02,5.04,4.87,4.87,907.114293,4527.144354,HOLD
4.97,4.97,4.87,4.95,413.826657,2038.796519,SELL
4.95,4.97,4.91,4.91,219.333891,1080.629741,SELL
4.95,4.95,4.94,4.94,395.462966,1954.293935,SELL
4.93,4.99,4.88,4.93,718.729118,3540.861297,SELL
4.95,5.01,4.9,4.95,600.995964,2983.31625,SELL
5,5.04,4.98,5.04,178.033221,892.098754,SELL
5.02,5.03,5.01,5.02,611.212832,3071.505429,SELL
5.03,5.07,5.03,5.07,912.52427,4607.764033,HOLD
5.08,5.08,5.05,5.07,168.005975,851.564453,HOLD
5.03,5.08,5.03,5.03,26.402127,133.964195,HOLD
5.04,5.09,5.01,5.08,354.057396,1791.340373,HOLD
5.05,5.07,5,5.03,678.067585,3425.089848,HOLD
5.02,5.1,5.02,5.1,558.151313,2826.52784,SELL
5.08,5.12,5.04,5.12,904.740096,4607.125057,HOLD
5.09,5.1,5.08,5.08,274.910263,1398.604582,SELL
5.08,5.09,5.06,5.07,388.706217,1977.883419,SELL
5.08,5.08,5,5.07,913.529672,4616.795081,SELL
5.08,5.08,5.07,5.07,180.683833,917.689674,SELL
5.07,5.12,4.95,5.11,1341.514304,6801.76803,SELL
5.07,5.14,5.07,5.14,748.401681,3831.895882,SELL
5.14,5.17,5.1,5.17,1102.639914,5655.316803,SELL
5.17,5.24,5.16,5.22,473.664411,2467.554625,SELL
5.2,5.21,5.17,5.19,192.434785,999.613877,SELL
5.19,5.2,5.19,5.19,14.334754,74.440495,SELL
5.18,5.24,5.14,5.22,1359.118309,7046.503508,SELL
5.22,5.49,5.22,5.37,929.194951,4983.290899,SELL
5.39,5.49,5.37,5.41,770.84631,4190.974831,SELL
5.41,5.53,5.4,5.53,1412.875207,7732.319295,SELL
5.48,5.63,5.46,5.61,1397.449021,7776.038687,SELL
5.6,5.62,5.47,5.48,353.656034,1971.261326,SELL
5.54,5.54,5.42,5.42,270.951176,1480.567258,SELL
5.48,5.57,5.4,5.52,667.672166,3645.374,SELL
5.57,5.9,5.53,5.71,9330.407964,54760.494771,SELL
5.77,6,5.71,5.86,1690.197407,9900.866631,SELL
5.86,5.91,5.79,5.9,3236.508726,18903.896599,SELL
5.88,6.42,5.56,6.42,2041.447287,11963.308265,SELL
6.41,6.52,6.12,6.41,1010.139375,6427.823978,SELL
6.41,6.47,6.13,6.19,424.190457,2679.990784,SELL
6.13,6.34,5.98,6.06,2483.098653,15257.807492,SELL
6.13,6.49,6.13,6.46,1389.048837,8907.1497,BUY
6.4,6.65,6.26,6.64,2075.984567,13567.256885,HOLD
6.66,6.69,6.64,6.64,480.842019,3201.478837,BUY
6.64,6.67,6.48,6.59,963.160799,6367.152991,BUY
6.6,6.61,6.33,6.45,1137.141328,7329.271985,SELL
6.35,6.45,6.35,6.4,599.17295,3831.397118,SELL
6.35,6.35,6.11,6.26,1956.728215,12222.075296,SELL
6.26,6.46,6.17,6.41,2273.098601,14395.293587,SELL
6.41,6.68,6.34,6.49,11231.778287,73445.146275,HOLD
6.49,6.54,5.99,6.5,4266.150568,26772.779911,SELL
6.5,6.63,6.49,6.52,8127.555002,52910.433823,HOLD
6.58,6.61,6.5,6.61,828.05206,5403.412103,SELL
6.6,6.62,6.52,6.52,332.443723,2178.098808,HOLD
6.55,6.64,6.52,6.61,1792.236132,11809.445608,SELL
