id,open,high,low,close,volume (btc),volume (currency),class label
97,3.25,3.5,3.25,3.5,17.24285714,58.58999999,SELL
98,3.5,3.98,3.5,3.85,134.73429197,513.292936466,SELL
99,4.75,4.75,4.53,4.55,94.74335338,432.980000007,BUY
100,4.38,4.38,4.38,4.38,20.89954338,91.5400000044,BUY
101,4.19,4.19,4.17,4.17,8.53526439,35.7100000003,SELL
102,3.86,4.35,3.84,4.22,149.49256188,625.814286083,SELL
103,4.33,4.33,4.33,4.33,27.22479474,117.883361224,SELL
104,4.32,4.32,4.27,4.27,24.182423,104.08056736,SELL
105,4.27,4.33,4.27,4.33,56.73660508,243.740499996,SELL
106,4.33,4.33,4.29,4.29,58.07386739,250.336983482,SELL
107,4.29,4.3,4.25,4.3,35.55011655,151.724195804,SELL
108,4.3,4.5,4.3,4.5,36.56096221,158.978804169,SELL
109,4.26,4.5,4.21,4.21,56.74004969,240.143609195,SELL
110,4.39,4.58,4.39,4.58,95.3178781,425.320337554,SELL
111,4.58,5.0,4.58,5.0,21.602,105.77916,SELL
112,5.0,5.0,5.0,5.0,19.048,95.24,SELL
113,5.32,5.32,5.14,5.29,88.03728092,464.805209506,SELL
114,4.93,5.57,4.93,5.57,107.23326023,568.076197478,SELL
115,5.72,6.65,5.72,6.65,94.80182926,587.734766709,SELL
116,6.65,6.9,6.0,6.0,33.88274671,222.805219044,SELL
117,6.8,6.8,6.8,6.8,0.29585799,2.011834332,BUY
118,6.9,7.0,6.9,7.0,5.0,34.6,SELL
119,6.99,6.99,6.23,6.3,66.8693229,443.044719718,SELL
120,6.24,7.14,6.24,7.14,62.28998018,413.204084418,BUY
121,7.14,7.33,6.25,7.0,105.35893402,743.011615154,BUY
122,6.95,7.38,6.51,6.51,82.30163181,598.06163103,BUY
123,6.8,7.36,6.6,6.6,48.97014484,344.937354639,BUY
124,6.5,6.5,6.3,6.3,16.836,108.4868,BUY
125,7.15,7.15,7.15,7.15,16.6993007,119.400000005,BUY
126,6.2,7.1,6.2,7.1,12.64929577,86.749999967,BUY
127,6.5,6.9,6.0,6.0,80.51400824,493.405788569,SELL
128,5.99,7.1,5.99,7.1,133.44676912,820.932602109,SELL
129,5.52,7.0,5.52,6.22,246.71581895,1542.22122679,BUY
130,6.9,6.95,6.55,6.95,95.82599863,647.201739156,BUY
131,6.3,6.77,6.28,6.77,81.41385241,512.26257306,BUY
132,6.79,6.83,6.03,6.79,81.27103303,501.406607217,BUY
133,6.5,6.52,6.0,6.52,94.92062909,608.483847482,BUY
134,6.52,6.57,6.0,6.55,85.44624147,550.635660543,BUY
135,6.26,6.86,6.0,6.31,81.1232564,505.991268957,BUY
136,6.27,6.3,5.5,5.5,29.91907058,183.922026676,HOLD
137,3.8,6.03,3.8,5.88,92.07999287,528.437882138,SELL
138,4.91,4.91,4.91,4.91,0.25,1.2275,SELL
139,5.89,5.9,5.3,5.5,9.45484643,52.2104692015,SELL
140,5.3,5.58,5.3,5.58,15.16,83.9208,HOLD
141,5.7,6.22,3.8,5.3,110.50333334,639.078531186,BUY
142,5.53,5.99,5.52,5.88,12.05880628,71.2026999578,BUY
143,5.99,6.28,5.89,6.28,251.00093001,1541.85190369,BUY
144,6.29,6.35,5.93,6.3,155.5524532,950.749667529,BUY
145,6.35,6.5,5.94,5.94,67.63499409,407.870047007,BUY
146,5.93,6.15,5.6,5.6,47.85042396,280.366294416,BUY
147,5.6,5.9,5.2,5.6,29.17833833,161.848679316,SELL
148,5.5,5.88,5.5,5.69,165.40541896,937.134706822,BUY
149,5.79,5.87,5.66,5.87,83.57202011,477.332030262,BUY
150,5.52,5.89,5.51,5.89,83.60318875,482.909829513,BUY
151,5.88,5.88,5.8,5.88,176.93050375,1040.23518025,BUY
152,5.71,5.71,5.5,5.5,1.8794878,10.374875338,BUY
153,5.78,5.78,5.55,5.67,64.8434324,371.291861708,BUY
154,5.53,5.79,5.5,5.79,99.78443902,571.311508234,BUY
155,5.2,5.8,4.56,4.89,128.34493428,662.527248074,BUY
156,4.9,5.08,4.69,4.69,67.78916535,335.706889585,BUY
157,4.5,4.98,4.15,4.51,115.6239213,535.147306981,SELL
158,4.67,4.8,4.5,4.67,244.67028923,1151.24386948,SELL
159,4.67,4.73,4.14,4.23,254.39025201,1121.28146357,SELL
160,4.38,4.38,4.3,4.38,92.68354434,401.211082449,SELL
161,4.72,4.72,4.4,4.44,315.93925361,1439.9067215,SELL
162,4.52,4.58,4.3,4.58,358.44920149,1595.15671256,SELL
163,4.47,4.59,4.46,4.51,75.30876636,341.357038446,SELL
164,4.59,5.22,4.55,5.22,714.84400933,3516.15106689,SELL
165,5.12,5.22,4.95,4.95,37.59711782,193.547452998,BUY
166,5.11,5.11,5.0,5.0,119.80740151,600.529999934,BUY
167,4.79,5.07,4.78,4.98,40.9,201.4,BUY
168,4.97,5.1,4.95,5.04,309.05231411,1563.05607815,BUY
169,5.09,5.1,4.71,4.88,440.24138707,2211.57450542,HOLD
170,4.97,5.0,4.85,4.99,242.23784635,1197.86987631,SELL
171,4.99,5.05,4.9,5.0,291.16358119,1455.03721497,HOLD
172,4.99,4.99,4.64,4.79,245.97471171,1166.58625295,SELL
173,4.81,4.99,4.6,4.65,125.91831514,589.85445175,SELL
174,4.78,4.81,4.77,4.81,113.6084153,544.863926496,SELL
175,4.8,5.06,4.77,5.06,518.05455153,2569.92240289,HOLD
176,5.0,5.05,4.95,4.98,296.62794242,1481.53495814,SELL
177,5.05,5.09,4.93,4.93,373.49234495,1894.89873028,SELL
178,4.94,5.08,4.87,5.01,326.5657549,1620.12764676,SELL
179,5.01,5.07,4.93,4.93,277.58947934,1395.69901152,SELL
180,4.91,4.99,4.85,4.94,114.04892826,553.985785095,SELL
181,4.94,5.0,4.84,5.0,24.68252609,120.977426276,SELL
182,4.85,4.99,4.85,4.99,108.76167997,538.938513381,SELL
183,4.99,5.32,4.96,5.3,734.65394306,3715.6328451,BUY
184,5.32,5.44,5.27,5.27,1129.74327668,6047.71509002,BUY
185,5.27,5.43,5.27,5.39,633.16784947,3394.01819041,BUY
186,5.3,5.41,5.26,5.26,157.69794429,844.791342043,BUY
187,5.38,5.42,5.38,5.42,143.87332861,775.720726009,BUY
188,5.41,5.42,5.24,5.25,412.66352117,2202.22598469,BUY
189,5.24,5.37,4.83,4.83,415.19375675,2107.01859457,BUY
190,4.82,4.97,4.79,4.79,279.75591707,1368.21402303,BUY
191,4.9,4.96,4.9,4.96,9.32862903,46.0349999888,BUY
192,4.86,4.98,4.72,4.91,396.4109947,1931.33380067,HOLD
193,4.73,4.89,4.6,4.78,393.13018484,1819.832912,SELL
194,4.72,4.83,4.62,4.83,191.53850932,920.228907588,SELL
195,4.61,4.84,4.54,4.54,15.47357192,70.9029999878,SELL
196,4.6,4.75,4.54,4.73,64.76455997,295.698830826,SELL
197,4.54,4.97,4.54,4.84,369.59079623,1769.3583541,SELL
198,4.75,4.95,4.72,4.93,418.64896346,2032.73821162,SELL
199,4.93,4.93,4.77,4.84,110.39370311,534.796984681,SELL
200,4.81,4.91,4.76,4.88,161.39879423,783.95124826,HOLD
201,4.9,4.92,4.89,4.9,158.37378321,777.642105881,BUY
202,4.89,4.89,4.77,4.89,308.5058652,1478.70734442,HOLD
203,4.8,5.04,4.78,5.04,888.57861157,4377.18129229,BUY
204,5.04,5.04,4.86,4.99,244.30290125,1214.36567986,BUY
205,4.92,5.01,4.86,5.01,305.43564088,1501.27542175,HOLD
206,4.99,5.04,4.89,5.0,400.86488523,1990.30358227,BUY
207,4.9,4.99,4.81,4.99,725.95771755,3543.84823538,HOLD
208,4.94,4.94,4.7,4.7,228.65562961,1095.62508223,SELL
209,4.8,4.8,4.69,4.76,177.21795867,842.017140088,SELL
210,4.7,4.85,4.7,4.75,158.55832457,756.915173966,SELL
211,4.75,4.87,4.75,4.8,314.81763742,1515.54878618,SELL
212,4.86,4.92,4.78,4.92,425.60463177,2073.10469765,SELL
213,4.87,4.93,4.73,4.93,756.79455183,3667.96422273,SELL
214,4.88,4.95,4.81,4.93,1102.2658949,5395.33524086,SELL
